molecular_weight,logP,TPSA,H_bond_donors,H_bond_acceptors,rotatable_bonds,ring_count,label
526.6340000000005,3.3756000000000013,114.24999999999999,1.0,9.0,10.0,3.0,1.0
293.45400000000006,5.084600000000005,3.24,0.0,1.0,5.0,3.0,1.0
315.844,4.384200000000003,12.47,0.0,2.0,3.0,3.0,1.0
403.51900000000023,3.8717000000000033,98.07000000000001,3.0,4.0,6.0,4.0,1.0
361.87600000000003,4.354180000000004,30.270000000000003,0.0,3.0,1.0,4.0,1.0
303.402,2.1050000000000004,49.769999999999996,1.0,4.0,4.0,3.0,1.0
322.40799999999996,3.546400000000003,24.94,0.0,4.0,2.0,4.0,1.0
340.4200000000002,1.4621,106.94000000000001,3.0,4.0,7.0,2.0,1.0
396.31100000000015,4.785800000000003,142.04,1.0,7.0,7.0,3.0,1.0
430.5480000000003,4.133900000000003,34.17,0.0,5.0,6.0,5.0,1.0
471.85600000000017,4.507700000000005,35.94,1.0,4.0,5.0,4.0,1.0
265.25,2.0092000000000003,105.36,2.0,6.0,3.0,2.0,1.0
369.42100000000005,2.0546999999999995,86.01,2.0,5.0,2.0,4.0,1.0
324.6430000000001,3.2842400000000014,83.78999999999999,5.0,2.0,2.0,1.0,1.0
412.4500000000002,0.9857200000000006,124.14999999999999,2.0,8.0,2.0,4.0,1.0
609.7230000000004,6.018000000000007,111.01000000000002,1.0,8.0,10.0,5.0,1.0
248.3843053339999,3.2997200000000024,20.310000000000002,0.0,2.0,5.0,2.0,1.0
835.1679999999999,-0.9733999999999992,188.88999999999996,7.0,9.0,13.0,1.0,1.0
283.415,3.5675000000000026,32.26,2.0,2.0,7.0,2.0,1.0
321.87700000000007,4.522590000000004,23.96,1.0,3.0,2.0,3.0,1.0
873.09,5.377400000000005,170.06,3.0,14.0,8.0,7.0,1.0
308.3780000000001,1.5852999999999995,87.66,3.0,5.0,8.0,1.0,1.0
508.8040000000006,4.256280000000002,167.57999999999998,10.0,4.0,19.0,0.0,1.0
412.4960000000002,3.5928000000000004,92.26,1.0,9.0,5.0,4.0,1.0
548.7350000000004,4.133100000000004,70.24000000000001,0.0,6.0,0.0,8.0,1.0
294.31,2.0103,68.17,1.0,4.0,1.0,3.0,1.0
368.44100000000014,1.2063199999999996,73.71000000000001,1.0,6.0,2.0,4.0,1.0
394.46700000000004,3.852300000000003,53.99000000000001,0.0,5.0,2.0,5.0,1.0
